,date,CPI,interest,oil_price,gold_price,exchange_rate(w/d),KOSPI200(open),sent
306,2021-03-30,101.83,0.76,1090,63160,"1,131.70",412.32,0.25380381806391883
307,2021-03-31,101.84,0.76,1092,62300,"1,133.50",417.12,0.14480719993887609
308,2021-04-01,101.84,0.76,1086,62850,"1,132.60",416.99,0.20680968542517356
309,2021-04-02,101.85,0.76,1080,63100,"1,129.30",422.19,0.246246500717566
310,2021-04-05,101.86,0.76,1084,63230,"1,127.50",425.15,0.2240870681905704
311,2021-04-06,101.87,0.74,1086,62990,"1,127.80",425.18,0.3042064895507304
312,2021-04-07,101.87,0.73,1091,63260,"1,122.90",426.22,0.13556391001937207
313,2021-04-08,101.88,0.72,1087,62930,"1,116.40",426.73,0.27576147909032706
314,2021-04-09,101.88,0.72,1082,63270,"1,118.50",427.26,0.35451033310440094
315,2021-04-12,101.9,0.72,1093,63400,"1,117.20",424.73,0.22242130976039887
316,2021-04-13,101.9,0.72,1066,63310,"1,124.30",424.4,0.21170212682100864
317,2021-04-14,101.91,0.71,1076,63320,"1,126.10",429.14,0.18739123600394222
318,2021-04-15,101.91,0.71,1069,63000,"1,119.90",430.41,0.18572895292139274
319,2021-04-16,101.91,0.71,1059,63410,"1,117.60",432.43,0.2828007328428869
320,2021-04-19,101.93,0.71,1066,63920,"1,117.90",432.74,0.27541057515455486
321,2021-04-20,101.93,0.71,1095,64190,"1,118.20",431.9,0.2076194330308673
322,2021-04-21,101.94,0.7,1080,64200,"1,113.40",433.4,0.15317282940715282
